item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,dha
0000006653,BoboVita Porcja zbóż Kaszka mleczna 7 zbóż zbożowo-jaglana owocowa po 8 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,428 kcal,12 g,2.7 g,61 g,31 g,5.9 g,16 g,0.29 g,,,
0000008547,Dada Baby Food Bio Mus + Kokos Jabłko Banan Ananas 90 g,dla-dzieci,Y,w porcji 100 g,88 kcal,2.8 g,2.6 g,13 g,11 g,3.4 g,1 g,0.01 g,,,
0000002552,"HiPP BIO od pokoleń, Puree z ziemniaczków z kukurydzą i indykiem, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,77 kcal,3 g,0.5 g,9.3 g,2 g,,2.7 g,0.05 g,1.6 g,0.9 g,
0000008421,HiPP SMOOTHIE Jabłka-Banany-Mandarynki BIO 120 g,dla-dzieci,Y,w porcji 100 ml,58 kcal,0.1 g,0 g,12.9 g,12 g,,0.5 g,0.05 g,,,
0000002338,Nestle Yogolino malina po 6 miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,91 kcal,3.2 g,2 g,12.2 g,8.1 g,0.5 g,3.1 g,0.09 g,,,
0000007331,HiPP BIO Mus owocowy z pełnoziarnistym zbożem jabłka banany maliny z orkiszem po 6. miesiącu 100 g,dla-dzieci,Y,w porcji 100 g,53 kcal,0.2 g,0 g,11 g,7.7 g,1.6 g,0.9 g,0.05 g,,,
0000002554,"HiPP BIO od pokoleń, Dynia z  jabłkiem i indykiem, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,59 kcal,2.4 g,0.4 g,6.3 g,3.5 g,1.3 g,2.4 g,0.05 g,1.2 g,0.8 g,
0000013645,Gerber Organic Chrupki pszenno-owsiane marchewka pomarańcza 10.+ miesiąc 35 g,dla-dzieci,Y,w porcji 100 g,420 kcal,9.7 g,1.3 g,71.9 g,2.1 g,3.1 g,9.7 g,,,,
0000008662,Nestlé Kaszka dzień dobry mleczno-ryżowo-kukurydziana jabłko-banan-morela ρo 9. miesiącu 300 g,dla-dzieci,Y,w porcji 100 g,428 kcal,10.3 g,1 g,70.5 g,24 g,1.2 g,12.8 g,0.28 g,,,
0000002561,HiPP BIO od pokoleń Jarzynki z amarantusem i słodkim batatem od 6. m-ca 190 g,dla-dzieci,Y,w porcji 100 g,89 kcal,3.3 g,0.5 g,10.9 g,4.1 g,,2.7 g,0.08 g,1.9 g,0.9 g,
0000013683,Bebilon AR Żywność specjalnego przeznaczenia medycznego 400 g,dla-dzieci,Y,w porcji 100 g,484 kcal,25 g,11 g,53 g,53 g,5 g,9.7 g,0.4 g,9.5 g,4.2 g,0.12 g
0000012222,HiPP BIO Jagodowe wafelki ryżowe po 7. miesiącu 30 g,dla-dzieci,Y,w porcji 100 g,388 kcal,0.8 g,0.1 g,88.9 g,8.2 g,0.7 g,5.9 g,0.05 g,,,
0000002493,"HiPP BIO od pokoleń, Maliny i jabłka z kleikiem ryżowym, po 5. m-cu, 190 g",dla-dzieci,Y,w porcji 100 g,53 kcal,0.1 g,0 g,11.8 g,7.5 g,,0.6 g,0.05 g,,,
0000006657,BoboVita Porcja zbóż Kaszka mleczna manna brzoskwinia-banan po 4 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,430 kcal,11 g,2.6 g,64 g,31 g,3.5 g,16 g,0.29 g,,,
0000005140,BoboVita Mus morele z jabłkiem i gruszką po 6. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,55 kcal,0.2 g,0 g,12 g,10 g,2 g,0.4 g,,,,
0000006652,NAN OPTIPRO Plus 3 HMO Produkt na bazie mleka dla małych dzieci 800 g,dla-dzieci,Y,w porcji 100 g,483 kcal,21.5 g,4.5 g,65.1 g,47.3 g,0.14 g,7.3 g,0.24 g,10 g,4.7 g,
0000008752,HiPP BIO Kaszotto z warzywami i indykiem po 12. miesiącu 250 g,dla-dzieci,Y,w porcji 100 g,70 kcal,2.5 g,0.7 g,8 g,1 g,,3 g,0.25 g,1.2 g,0.6 g,
0000001611,Gerber Obiadek Schabik ze śliwką w warzywach po 6 miesiącu 190g,dla-dzieci,Y,w porcji 100 g,48 kcal,1.5 g,0.2 g,5.5 g,2.5 g,1 g,2.6 g,0.08 g,,,
0000003528,Kubuś Baby Mus po 6 miesiącu jabłko brzoskwinia marchew banan 120 g,dla-dzieci,Y,w porcji 100 g,46 kcal,0.3 g,0.04 g,10 g,9.6 g,2.3 g,0.8 g,0.02 g,,,
0000000380,BoboVita Jarzynowa z kurczakiem po 5. miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,55 kcal,1.6 g,0.2 g,6.8 g,1.3 g,1.3 g,2.6 g,0.05 g,,,
0000003605,Gerber Obiadek Krem z jasnych warzyw z kurczakiem po 5 miesiącu 125 g,dla-dzieci,Y,w porcji 100 g,76 kcal,2.9 g,0.4 g,8.6 g,0.7 g,1.7 g,2.9 g,0.03 g,,,
0000007274,Bebilon Advance Pronutra 4 Junior Mleko dla dzieci po 2. roku życia (2x500g) 1000g,dla-dzieci,Y,w porcji 100 ml,65 kcal,2.7 g,0.75 g,8.6 g,6.4 g,0.6 g,1.3 g,0.06 g,1.2 g,0.7 g,
0000007326,"HiPP BIO od pokoleń, Jabłka-Truskawki-Banany, po 6. m-cu, 100 g",dla-dzieci,Y,w porcji 100 g,54 kcal,0.1 g,0 g,11.9 g,10.9 g,1.8 g,0.5 g,0.05 g,,,
0000008755,HiPP Zupka pomidorowa z ryżem i indykiem BIO 250 g,dla-dzieci,Y,w porcji 100 g,65 kcal,2.6 g,0.8 g,7.4 g,1.9 g,,2.3 g,0.05 g,1.1 g,0.7 g,
0000009191,"HiPP 5 JUNIOR COMBIOTIK dla przedszkolaka po 2,5. roku, 550 g",dla-dzieci,Y,w porcji 100 ml,51 kcal,2.9 g,1.1 g,5 g,5 g,0.7 g,1 g,0.05 g,1.4 g,0.4 g,
0000008417,"HiPP BIO od pokoleń, SMOOTHIE Jabłka-Banany-Truskawki-Porzeczki, po 1. roku, 120 ml",dla-dzieci,Y,w porcji 100 ml,61 kcal,0.1 g,0 g,13.6 g,12.5 g,1.6 g,0.5 g,0.05 g,,,
0000009454,BoboVita Porcja zbóż Delikatna mleczna owsianka z ryżem mango-marakuja-banan po 8 miesiącu 210 g,dla-dzieci,Y,w porcji 100 g,431 kcal,13 g,2.9 g,62 g,28 g,2.8 g,16 g,0.3 g,,,
0000003608,Gerber Zupka Domowy rosołek drobiowo-wołowy po 5 miesiącu 125 g,dla-dzieci,Y,w porcji 100 g,57 kcal,2.1 g,0.5 g,5.9 g,2 g,1.8 g,2.6 g,0.05 g,,,
0000003488,Bebiko Junior 3 NUTRIflor Expert Mleko dla dzieci powyżej 1. roku życia 600 g,dla-dzieci,Y,w porcji 100 ml,67 kcal,2.9 g,0.69 g,8.7 g,6.9 g,0.3 g,1.3 g,0.06 g,1.26 g,0.85 g,
0000008665,Nestlé Kaszka mleczno-ryżowa kakao po 10. miesiącu 300 g,dla-dzieci,Y,w porcji 100 g,427 kcal,10.3 g,1.1 g,70 g,27.2 g,1.4 g,12.8 g,0.28 g,,,
0000007334,"HiPP BIO od pokoleń, Gruszki-Banany-Kiwi, po 6. m-cu, 100 g",dla-dzieci,Y,w porcji 100 g,61 kcal,0.3 g,0 g,12.6 g,10.6 g,2.6 g,0.7 g,0.05 g,,,
0000006650,Kubuś Baby Sok po 5 miesiącu jabłko gruszka 300 ml,dla-dzieci,Y,w porcji 100 ml,49 kcal,0.1 g,0.02 g,11.8 g,11.8 g,,0.3 g,0 g,,,
