item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,fiber,protein,salt,monounsaturated fatty acids,polyunsaturated fatty acids,dha
0000002142,BoboVita Kaszka ryżowa malina po 6 miesiącu 270 g,dla-dzieci,Y,w porcji 100 g,388 kcal,1 g,0.4 g,87 g,8.4 g,1.7 g,7 g,0.01 g,,,
0000013899,Bebiko Pro+ 2 Mleko następne dla niemowląt powyżej 6. miesiąca życia 700 g,dla-dzieci,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,0 g,0 g,0 mg
0000015468,Nestlé Proste Zboża Kaszka ryżowo-kukurydziana po 6 miesiącu 144 g,dla-dzieci,Y,w porcji 100 g,389 kcal,1 g,0.3 g,88 g,2.4 g,1.1 g,6.5 g,0.01 g,,,
0000015927,HiPP 2 HA COMBIOTIK Preparat do dalszego żywienia niemowląt 350 g,dla-dzieci,Y,w porcji 100 ml,68 kcal,3.7 g,1.5 g,7.2 g,7.2 g,,1.3 g,0.05 g,1.7 g,0.5 g,
0000013234,BoboVita Porcja zbóż Kaszka bezmleczna manna po 4 miesiącu 170 g,dla-dzieci,Y,w porcji 100 g,383 kcal,1.5 g,0.24 g,77 g,2.2 g,4.9 g,13 g,0.01 g,,,
0000017123,"HiPP AR, żywność specjalnego przeznaczenia medycznego, dla niemowląt od urodzenia, 300 g",dla-dzieci,Y,w porcji 100 ml,66 kcal,3.6 g,1.5 g,6.9 g,6.9 g,0.4 g,1.25 g,0.05 g,1.6 g,0.5 g,
0000006719,BoboVita Kaszka mleczno-ryżowa banan po 6 miesiącu 330 g,dla-dzieci,Y,w porcji 100 g,428 kcal,9.8 g,2.4 g,71 g,29 g,1.1 g,13 g,0.26 g,,,
0000006648,Kubuś Baby po 1 roku życia sok + woda czerwone owoce 300 ml,dla-dzieci,Y,w porcji 100 ml,35 kcal,0 g,0 g,8.2 g,8.2 g,,0 g,0 g,,,
0000001213,BoboVita Morele banany i jabłka po 6 miesiącu 130 g,dla-dzieci,Y,w porcji 100 g,66 kcal,0.1 g,0 g,15 g,9 g,1.2 g,0.7 g,0.01 g,,,
0000008466,Miami Sok Marchew-Banan-Jabłko 300 ml,dla-dzieci,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,7.9 g,7.9 g,1 g,0.5 g,0.05 g,,,
0000013956,Gerber Grain & grow Kaszka owsiano-pszenno-żytnia mleczna po 6 miesiącu 200 g,dla-dzieci,Y,w porcji 100 g,431 kcal,12 g,2.5 g,61 g,22 g,5.5 g,17 g,0.3 g,,,
0000013654,BoboVita Moja Pierwsza Kaszka mleczno-ryżowa malina bez dodatku cukru po 4 miesiącu 230 g,dla-dzieci,Y,w porcji 100 g,435 kcal,11 g,2.7 g,68 g,26 g,1.1 g,15 g,0.29 g,,,
0000006715,BoboVita Kaszka mleczno-zbożowa owsiana po 8 miesiącu 330 g,dla-dzieci,Y,w porcji 100 g,435 kcal,12 g,2.6 g,63 g,31 g,6 g,16 g,0.25 g,,,
0000013232,BoboVita Porcja zbóż Kaszka bezmleczna 7 zbóż jagoda-jeżyna jabłko po 8 miesiącu 170 g,dla-dzieci,Y,w porcji 100 g,367 kcal,2.5 g,0.4 g,68 g,4.6 g,12 g,12 g,0.01 g,,,
0000008467,Miami Sok Marchew z maliną i jabłkiem 300 ml,dla-dzieci,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,7.9 g,7.9 g,1.3 g,0.5 g,0.07 g,,,
0000008773,Bobovita Bio Chrupeczki Kukurydziane delikatnie marchewkowe 20g,dla-dzieci,Y,w porcji 100 g,374 kcal,2.6 g,0 g,80 g,3 g,9.1 g,3.2 g,0.1 g,,,
0000015472,Gerber Kaszka mleczna ryżowa banan po 6. miesiącu 160 g,dla-dzieci,Y,w porcji 100 g,439 kcal,12 g,1.3 g,69 g,18.4 g,0.7 g,13.4 g,0.31 g,,,
0000006722,BoboVita Kaszka mleczno-ryżowa malina po 6 miesiącu 330 g,dla-dzieci,Y,w porcji 100 g,429 kcal,9.8 g,2.4 g,72 g,30 g,0.9 g,13 g,0.26 g,,,
0000001600,Bobo Frut Nektar Jabłko banan marchewka po 6 miesiącu 300 ml,dla-dzieci,Y,w porcji 100 ml,33 kcal,0.1 g,0 g,7 g,7 g,1 g,0.4 g,0.02 g,,,
0000013233,BoboVita Porcja zbóż Bezmleczna jaglanka z ryżem malina po 6 miesiącu 170 g,dla-dzieci,Y,w porcji 100 g,381 kcal,2.9 g,0.4 g,77 g,2 g,3.3 g,10 g,0.02 g,,,
0000014278,"HiPP BIO od pokoleń, Naleśniczki z musem jabłkowym, po 9. m-cu, 200 g",dla-dzieci,Y,w porcji 100 g,74 kcal,1.4 g,0.3 g,13.5 g,8.4 g,1.5 g,1 g,0.05 g,,,
0000013900,Bebiko Pro+ 3 Odżywcza formuła na bazie mleka dla dzieci powyżej 1. roku życia 700 g,dla-dzieci,Y,w porcji 100 g,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,0 g,0 g,
0000013576,DR.BECKMANN Odplamiacz ze szczoteczką 250 ml,dla-dzieci,N,,,,,,,,,,,,
0000006647,Kubuś Baby po 1 roku życia sok + woda jasne owoce 300 ml,dla-dzieci,Y,w porcji 100 ml,33 kcal,0 g,0 g,7.7 g,7.7 g,,0 g,0 g,,,
0000016535,Gerber Szarlotka jabłka z biszkoptem i nutką waniliową po 8. miesiącu 190 g ,dla-dzieci,Y,w porcji 100 g,68 kcal,0.7 g,0 g,14 g,11.5 g,1.2 g,0.9 g,0.05 g,,,
0000014106,HiPP BIO Musli 7 zbóż z bananami od 12. miesiąca 200 g,dla-dzieci,Y,w porcji 100 g,367 kcal,3.6 g,0.8 g,70.1 g,4.2 g,9.5 g,10.8 g,0.05 g,,,
0000016235,Gerber Kaszka bezmleczna ryżowa banan malina po 6. miesiącu 160 g,dla-dzieci,Y,w porcji 100 g,395 kcal,0.8 g,0.4 g,89 g,6.8 g,1.1 g,7.5 g,0.1 g,,,
0000014818,"HiPP BIO od pokoleń, Jabłka-Guawa-Banany, po 6. m-cu 100 g",dla-dzieci,Y,w porcji 100 g,58 kcal,0.2 g,0 g,12.2 g,10.9 g,2.4 g,0.6 g,0.05 g,,,
0000007773,Bobo Frut Deserek jabłko morela marchew po 6 miesiącu 90 g,dla-dzieci,Y,w porcji 100 g,47 kcal,0.1 g,0 g,10.5 g,8.9 g,1.6 g,0.3 g,0.01 g,,,
0000004724,"Gerber Jabłka, banany i mango z kremowym twarożkiem 190g",dla-dzieci,Y,w porcji 100 g,62 kcal,0.7 g,0 g,11.9 g,8.8 g,1.2 g,1.3 g,0.02 g,,,
0000002337,Nestle Yogolino Jogurcik truskawka po 6 miesiącu (4x100 g) 400 g ,dla-dzieci,Y,w porcji 100 g,106 kcal,3.4 g,2.2 g,15.7 g,10 g,,3 g,0.09 g,,,
0000005144,BoboVita Mus jabłka i banany po 4. miesiącu 80 g,dla-dzieci,Y,w porcji 100 g,60 kcal,0.2 g,0 g,13.6 g,11 g,1.7 g,0.4 g,,,,
