item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber
0000001523,Mroźna Kraina Polskie truskawki bez szypułek 450 g,mrozone,Y,w porcji 100 g,32 kcal,0.4 g,0.1 g,5.4 g,5.4 g,0.7 g,0 g,
0000000346,Mroźna Kraina Warzywa na patelnię z ziemniakami 750g,mrozone,Y,w porcji 100 g,56 kcal,0.6 g,0.1 g,8.9 g,2.7 g,2.3 g,0.03 g,3 g
0000001899,Mroźna Kraina Warzywa na patelnię po grecku 450 g,mrozone,Y,w porcji 100 g,50 kcal,0.6 g,0.1 g,8.6 g,2.4 g,1.5 g,0.35 g,2 g
0000001896,Mroźna Kraina Warzywa na patelnię po włosku 450 g,mrozone,Y,w porcji 100 g,34 kcal,0.5 g,0.1 g,4.4 g,4 g,1.8 g,0.02 g,2.3 g
0000001692,Mroźna Kraina Szpinak rozdrobniony 450 g,mrozone,Y,w porcji 100 g,37 kcal,1.7 g,0.2 g,1.1 g,1.1 g,3.1 g,0.1 g,2.3 g
0000003180,Mroźna Kraina Brokuł różyczki 450 g,mrozone,Y,w porcji 100 g,21 kcal,0.3 g,0.1 g,1.9 g,0.8 g,2.1 g,0.01 g,1.1 g
0000001252,Mroźna Kraina Fasola szparagowa cięta 450g,mrozone,Y,w porcji 100 g,37 kcal,0.5 g,0 g,4.3 g,1.2 g,2.4 g,0.03 g,4.2 g
0000007942,Mroźna Kraina Włoszczyzna w słupkach 450 g,mrozone,Y,w porcji 100 g,32 kcal,0.3 g,0.1 g,4.4 g,2.1 g,0.8 g,0.7 g,3.9 g
0000008655,Marinero Krewetki białe blanszowane vannamei 450 g,mrozone,Y,w porcji 100 g,72 kcal,0.9 g,0.3 g,0 g,0 g,16 g,0.5 g,0 g
0000013404,Mroźna Kraina Borówka 300 g,mrozone,Y,w porcji 100 g,59 kcal,0.2 g,0 g,11.8 g,10.2 g,0.8 g,0 g,3.4 g
0000005707,Marinero Krewetki białe surowe vannamei 450g,mrozone,Y,w porcji 100 g,70 kcal,0.5 g,0.2 g,0.6 g,0.6 g,15.4 g,1 g,0.7 g
0000002225,"Marletto Mini Lody Almond, White, Milk, Classic 400ml (4 x 2 x 50ml)",mrozone,Y,w porcji 100 g,362 kcal,25 g,17 g,30 g,27 g,3.8 g,0.1 g,2.3 g
0000009770,Mroźna Kraina Maliny 300 g,mrozone,Y,w porcji 100 g,42 kcal,0.2 g,0 g,7.2 g,4 g,1.1 g,0 g,3.6 g
0000011483,Mroźna Kraina Szpinak w liściach porcjowany 450 g,mrozone,Y,w porcji 100 g,27 kcal,0.3 g,0.1 g,1.1 g,0.7 g,3.2 g,0.06 g,3.5 g
0000007708,Mroźna Kraina Fasolka szparagowa żółta i zielona cała 450 g,mrozone,Y,w porcji 100 g,32 kcal,0.5 g,0.1 g,3.1 g,2.3 g,1.9 g,0 g,3.4 g
0000010600,Mroźna Kraina Marchewka z groszkiem 450 g,mrozone,Y,w porcji 100 g,63 kcal,0.6 g,0.1 g,9 g,5.2 g,3.6 g,0.06 g,3.6 g
0000007294,Mroźna Kraina Warzywa na patelnię po indyjsku 450 g,mrozone,Y,w porcji 100 g,47 kcal,0.5 g,0.1 g,5.7 g,2.8 g,2.7 g,0.35 g,4.6 g
0000003181,Mroźna Kraina Trio warzywne z mini marchewką 750 g,mrozone,Y,w porcji 100 g,22 kcal,0.4 g,0.1 g,0.9 g,0.6 g,2 g,0.05 g,3.3 g
0000013405,Mroźna Kraina Brzoskwinia 300 g,mrozone,Y,w porcji 100 g,45 kcal,0 g,0 g,9.9 g,8.7 g,0.6 g,0.02 g,1.3 g
0000011478,Mroźna Kraina Polskie wiśnie bez pestek 450 g,mrozone,Y,w porcji 100 g,53 kcal,0.4 g,0.2 g,11 g,6.6 g,0.7 g,0 g,2.2 g
0000002686,Dorsz atlantycki porcje fileta bez skóry 475g,mrozone,N,,,,,,,,,
0000004821,Mroźna Kraina Warzywa na patelnię po europejsku 700 g,mrozone,Y,w porcji 100 g,79 kcal,2.7 g,0.4 g,8.8 g,1.7 g,2.7 g,0.41 g,4.2 g
0000017800,FRoSTA Złote paluszki rybne z fileta 450 g,mrozone,Y,w porcji 100 g,182 kcal,8.3 g,0.8 g,14 g,0.9 g,13 g,0.94 g,
0000004822,Mroźna Kraina Warzywa na patelnię Letnie 700 g,mrozone,Y,w porcji 100 g,79 kcal,5.4 g,0.6 g,4.3 g,4.3 g,2 g,0.57 g,2.7 g
0000007293,Mroźna Kraina Warzywa na patelnię po hiszpańsku 450 g,mrozone,Y,w porcji 100 g,53 kcal,1.2 g,0.2 g,7.1 g,3.1 g,1.8 g,0.35 g,3.4 g
0000000342,Mroźna Kraina Mieszanka Wiosenna 750 g,mrozone,Y,w porcji 100 g,58 kcal,0.5 g,0.12 g,8.9 g,1.6 g,2.8 g,0.08 g,
0000007295,Mroźna Kraina Warzywa na patelnię po meksykańsku 450 g,mrozone,Y,w porcji 100 g,60 kcal,0.4 g,0.2 g,9.7 g,3.5 g,3.1 g,0.5 g,2.5 g
0000006880,Mroźna Kraina Mango 450g,mrozone,Y,w porcji 100 g,77 kcal,0.4 g,0 g,13.5 g,13 g,0.7 g,0 g,1.4 g
0000006963,Grycan Lody waniliowe 1100 ml,mrozone,Y,w porcji 100 g,261 kcal,15.3 g,9.8 g,26.1 g,23.2 g,4.5 g,0.19 g,0.3 g
0000004084,ABRAMCZYK Mintaj polędwice bez skóry bez dodatków 10% 450/500 g,mrozone,Y,w porcji 100 g,70 kcal,0.6 g,0.1 g,0 g,0 g,16 g,0.24 g,
0000008313,Zielona Budka Lody o smaku miętowym 1000 ml,mrozone,Y,w porcji 100 g,118 kcal,6.6 g,5.8 g,13 g,13 g,1.3 g,,
