item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,polyols,starch
0000000247,Kraina Mięs Filet z piersi kurczaka kg,mieso,N,,,,,,,,,,,
0000005215,Kraina Wędlin Nature Parówki z szynki 250 g,mieso,Y,w porcji 100 g,277 kcal,24 g,9.6 g,1.3 g,0.6 g,14 g,1.8 g,,,
0000004237,Kraina Mięs Mięso z uda kurczaka świeże klasa A 500 g,mieso,N,,,,,,,,,,,
0000001641,Kraina Mięs Mięso mielone z łopatki wieprzowej 500 g,mieso,Y,w porcji 100 g,175 kcal,11 g,4.7 g,0.5 g,0.5 g,18 g,0.15 g,,,
0000003307,Kraina Mięs Mięso mielone wołowe 400 g,mieso,N,,,,,,,,,,,
0000007829,Gusto Bello Mix Włoskich Salami 100 g,mieso,Y,w porcji 100 g,358 kcal,28 g,9.8 g,0.5 g,0.5 g,26 g,4.2 g,0 g,,
0000000956,"Kraina Mięs Schab bez kości kotlety wieprzowe, 360 g",mieso,N,,,,,,,,,,,
0000001818,Marinero Łosoś Atlantycki filet świeży kg,mieso,N,,,,,,,,,,,
0000005438,Gusto Bello Prosciutto Cotto 100 g,mieso,Y,w porcji 100 g,129 kcal,5 g,2.2 g,1 g,1 g,20 g,2.1 g,0 g,,
0000005214,Kraina Wędlin Nature Schab wędzony plastry 100 g,mieso,Y,w porcji 100 g,133 kcal,4.5 g,1.7 g,1.2 g,0.6 g,21 g,2.4 g,,,
0000007296,"Kraina Mięs Mięso mielone z łopatki wieprzowej i wołowiny, 400 g",mieso,Y,w porcji 100 g,193 kcal,13 g,5 g,0.9 g,0.5 g,18 g,0.1 g,,,
0000005323,Kraina Wędlin Nature Salami plastry 80 g,mieso,Y,w porcji 100 g,364 kcal,31 g,13 g,0.5 g,0.5 g,21 g,3.5 g,,,
0000003304,"Kraina Mięs Zestaw rosołowy z indyka, świeży (część korpusu, skrzydło, szyja)",mieso,N,,,,,,,,,,,
0000006449,Biedronka Polędwica wiejska sądecka tradycyjna 100 g,mieso,Y,w porcji 100 g,155 kcal,5 g,3.4 g,0.5 g,0.5 g,27 g,1.8 g,,,
0000006454,Tarczyński Kabanosy Exclusive paluszki drobiowe z wieprzowiną 95 g,mieso,Y,w porcji 100 g,492 kcal,42 g,11 g,4.6 g,2.1 g,23 g,3.1 g,,,
0000004717,Marinero Łosoś plastry wędzony na zimno 100 g,mieso,Y,w porcji 100 g,175 kcal,11 g,1.5 g,0.1 g,0.1 g,19 g,2.9 g,0 g,,
0000005213,Kraina Wędlin Nature Szynka wędzona plastry 100 g,mieso,Y,w porcji 100 g,114 kcal,3 g,1.2 g,1.1 g,0.6 g,20 g,2.3 g,,,
0000007826,Morliny Boczek wędzony plastry 150 g,mieso,Y,w porcji 100 g,334 kcal,31 g,12 g,0.7 g,0 g,13 g,2 g,,,
0000001656,Kraina Wędlin Select Kiełbasa myśliwska 270 g,mieso,Y,w porcji 100 g,304 kcal,21 g,7 g,0.7 g,0.5 g,28 g,3 g,,,
0000006509,Biedronka Karczek sądecki tradycyjny 100 g,mieso,Y,w porcji 100 g,254 kcal,19 g,8.3 g,0.5 g,0.5 g,22 g,2.1 g,,,
0000008636,Kraina Wędlin Szynka z beskidzkiej wędzarni 150 g,mieso,Y,w porcji 100 g,95 kcal,2.6 g,1.1 g,0 g,0 g,18 g,2.5 g,0 g,,
0000006448,Biedronka Szynka swojska sądecka tradycyjna 100 g,mieso,Y,w porcji 100 g,137 kcal,3.7 g,1.4 g,0.5 g,0.5 g,26 g,1.8 g,,,
0000002346,Kraina Mięs Mięso na gulasz z szynki wieprzowej 500 g,mieso,N,,,,,,,,,,,
0000008637,Kraina Wędlin Schab z beskidzkiej wędzarni 150 g,mieso,Y,w porcji 100 g,95 kcal,2.5 g,1.1 g,0 g,0 g,18 g,2.5 g,0 g,,
0000004910,"Kraina Mięs Mięso na kotlety z fileta z piersi indyka, 400 g",mieso,Y,w porcji 100 g,123 kcal,3.7 g,0.5 g,0.5 g,0.5 g,22 g,0.9 g,,,
0000004111,Kraina Wędlin Boczek surowy wędzony plastry 100 g,mieso,Y,w porcji 100 g,274 kcal,23 g,9.2 g,0.6 g,0.5 g,16 g,2.1 g,,,
0000007278,Tarczyński Exclusive Kabanosy drobiowe z wieprzowiną 105 g,mieso,Y,w porcji 100 g,542 kcal,47 g,17 g,3.4 g,1.3 g,25 g,2.1 g,,,
0000006058,Dolina Dobra Mięso mielone z szynki wieprzowej 400 g,mieso,Y,w porcji 100 g,145 kcal,7 g,4 g,0.2 g,0.2 g,20 g,0.2 g,,,
0000003845,Sokołów Sokoliki Produkt drobiowy z cielęciną 140 g,mieso,Y,w porcji 100 g,186 kcal,13 g,4 g,1.7 g,0.5 g,15.5 g,1.7 g,,,
0000004065,Kraina Mięs Tatar wołowy 200 g,mieso,Y,w porcji 100 g,121 kcal,5.4 g,2.2 g,0.5 g,0.5 g,17 g,2.4 g,,,
0000000952,Kraina Wędlin Szynka konserwowa plastry 200 g,mieso,Y,w porcji 100 g,99 kcal,2 g,0.8 g,1.3 g,1.1 g,19 g,2.2 g,,,
0000004654,Kraina Mięs Polędwiczki z piersi kurczaka świeże klasa A 400 g,mieso,N,,,,,,,,,,,
0000004696,Drobimex Pierś pieczona 100 g,mieso,Y,w porcji 100 g,113 kcal,2 g,0.7 g,1.8 g,1.8 g,22 g,2.5 g,,,
0000001310,Marinero Łosoś Norweski wędzony plastry 150 g,mieso,Y,w porcji 100 g,175 kcal,11 g,1.5 g,0.1 g,0.1 g,19 g,2.9 g,,,
0000004681,Krakus Szynka eksportowa wieprzowa 120 g,mieso,Y,w porcji 100 g,98 kcal,1.6 g,0.6 g,2 g,1.9 g,19 g,2.5 g,,,
0000000958,"Mięso mielone z szynki wieprzowej, 500 g",mieso,Y,w porcji 100 g,140 kcal,6 g,2 g,1.5 g,0.5 g,20 g,0.1 g,,,
0000005019,Kraina Wędlin Select Kiełbasa żywiecka z szynki plastry 100 g,mieso,Y,w porcji 100 g,212 kcal,10 g,4.8 g,3.3 g,0.8 g,26 g,2.4 g,2.6 g,,
0000006453,Tarczyński Kabanosy Exclusive paluszki wieprzowe 95 g,mieso,Y,w porcji 100 g,498 kcal,42 g,17 g,6.7 g,2.7 g,22 g,2.8 g,,,
0000002243,Marinero Łosoś wędzony na gorąco z pieprzem 125 g,mieso,Y,w porcji 100 g,195 kcal,11 g,2 g,0 g,0 g,24 g,1.7 g,,,
0000002207,"Sokołów Salami w obsypce nuss, 100 g",mieso,Y,w porcji 100 g,425 kcal,37 g,15 g,4 g,1 g,19 g,3.7 g,,,
0000006059,Dolina Dobra Filet ze schabu wieprzowego 300 g,mieso,N,,,,,,,,,,,
0000007874,El Toro Rojo Szynka Serrano 80g,mieso,Y,w porcji 100 g,232 kcal,12 g,4 g,1 g,0.5 g,30 g,5 g,,,
0000007086,Tarczyński Naturalnie parówki z kurczaka 160 g,mieso,Y,w porcji 100 g,217 kcal,17 g,5.6 g,2 g,0.5 g,14 g,2.2 g,,,
0000006503,Kraina Wędlin Parówki z filetem z kurczaka 250 g,mieso,Y,w porcji 100 g,194 kcal,14 g,3.8 g,1.1 g,0.7 g,16 g,2 g,0 g,,
0000004110,Kraina Wędlin Boczek parzony wędzony plastry 100 g,mieso,Y,w porcji 100 g,303 kcal,26 g,10 g,0.5 g,0.5 g,17 g,2 g,,,
0000009506,Kraina Mięs Porcja rosołowa z kurczaka świeża,mieso,N,,,,,,,,,,,
0000001249,Gusto Bello Szynka Prosciutto 80 g,mieso,Y,w porcji 100 g,231 kcal,13 g,4 g,1 g,0.5 g,27.5 g,5 g,,,
0000006312,Vici Paluszki surimi 250 g,mieso,Y,w porcji 100 g,112 kcal,3.2 g,0.3 g,13.2 g,2.9 g,8.2 g,1.33 g,,,
0000001262,Kraina Wędlin Polędwica sopocka plastry 140 g,mieso,Y,w porcji 100 g,97 kcal,2.6 g,1 g,1 g,0.6 g,18 g,2.2 g,0 g,,
0000004878,Kraina Wędlin Kiełbaski śląskie z szynki 270 g,mieso,Y,w porcji 100 g,245 kcal,19 g,9.2 g,1.5 g,0.9 g,17 g,2.1 g,0.6 g,,
0000003802,Kraina Mięs Skrzydła z kurczaka,mieso,N,,,,,,,,,,,
0000012933,Kraina Wędlin Salami codzienne 300 g,mieso,Y,w porcji 100 g,338 kcal,28 g,11 g,3.4 g,1.7 g,18 g,3 g,0.5 g,,
0000004941,Kraina Mięs Wolno gotowane nogi z kaczki z sosem żurawinowym 500 g + 30 g sos,mieso,Y,w porcji 100 g,181 kcal,13 g,4.7 g,2 g,0.5 g,14 g,1.5 g,,,
0000001734,Berlinki Classic parówki 300 g,mieso,Y,w porcji 100 g,225 kcal,18 g,6.7 g,2.8 g,1 g,13 g,2.5 g,,,
0000006826,Tarczyński Parówki premium z fileta z kurczaka (2 x 90 g) 180 g,mieso,Y,w porcji 100 g,242 kcal,19 g,6.5 g,4.3 g,0.9 g,13 g,2.1 g,,,
0000007497,"Kraina Mięs Paski z fileta kurczaka świeże, 400 g",mieso,N,,,,,,,,,,,
0000007190,Kraina Wędlin Select Kabanosy z wędzarni 175 g,mieso,Y,w porcji 100 g,468 kcal,40 g,16 g,1 g,1 g,26 g,3.5 g,,,
0000001769,Kraina Mięs Podudzie z kurczaka świeże klasa A kg,mieso,N,,,,,,,,,,,
0000007815,Kraina Mięs Mięso mielone ze schabu wieprzowego 400 g,mieso,N,,,,,,,,,,,
0000003238,Krakus Parówki z piersi kurczaka drobiowe 200 g ,mieso,Y,w porcji 100 g,185 kcal,13 g,3.4 g,1 g,0.7 g,16 g,2.2 g,,,
0000012214,Olewnik Sucha krakowska z szynki 150 g,mieso,Y,w porcji 100 g,190 kcal,8 g,3.2 g,1.2 g,0.9 g,28 g,2.8 g,,,
0000006604,Kraina Wędlin Głodniaki Szyneczka z fileta z kurczaka 2x50g,mieso,Y,w porcji 100 g,105 kcal,1.5 g,0.6 g,2.9 g,0.5 g,20 g,1.7 g,,,
0000001431,Kraina Mięs Polędwiczka wieprzowa,mieso,N,,,,,,,,,,,
0000002206,"Sokołów Salami w obsypce cebula, 100 g",mieso,Y,w porcji 100 g,425 kcal,37 g,15 g,4 g,1 g,19 g,3.7 g,,,
0000000794,Kraina Wędlin Kiełbasa podwawelska kg,mieso,Y,w porcji 100 g,239 kcal,19 g,7 g,7 g,1 g,16 g,1.9 g,,,
0000008038,Duda Filet pieczony z kurczaka plastry 200 G,mieso,Y,w porcji 100 g,109 kcal,2.8 g,1 g,2 g,0.5 g,19 g,2.5 g,,,
0000007025,Polędwica drobiowa plastry 250 g,mieso,Y,w porcji 100 g,100 kcal,2 g,0.6 g,2.5 g,1 g,18 g,1.8 g,,,
0000005274,Kraina Mięs Wolno gotowane Filet z kaczki z sosem żurawinowym 480 g + 30 g sos,mieso,Y,w porcji 100 g,161 kcal,11 g,3.6 g,1.1 g,0.6 g,14 g,1.3 g,,,
0000006916,Tarczyński Kabanosy Exclusive chilli 105 g,mieso,Y,w porcji 100 g,535 kcal,45 g,19 g,4.5 g,1.5 g,27 g,2.5 g,,,
0000004879,Kraina Wędlin kiełbaski białe z szynki 270 g,mieso,Y,w porcji 100 g,243 kcal,19 g,8 g,0.6 g,0.5 g,17 g,1.6 g,0.6 g,,
0000006589,Kraina Wędlin Szynka z indyka cienkie plastry 150g,mieso,Y,w porcji 100 g,98 kcal,2 g,0.8 g,2 g,0.6 g,18 g,1.9 g,,,
0000002242,Marinero Łosoś wędzony na gorąco łagodny 125 g,mieso,Y,w porcji 100 g,195 kcal,11 g,2 g,0 g,0 g,24 g,1.7 g,0 g,,
0000012517,Tarczyński Kabanosy Exclusive z indyka z wieprzowiną 90 g,mieso,Y,w porcji 100 g,490 kcal,42 g,17 g,2.9 g,0.5 g,25 g,2.7 g,,,
0000011296,Kraina Mięs Select Kurczak farmerski Skrzydła z kurczaka kg,mieso,N,,,,,,,,,,,
0000011306,Kraina Mięs Select Udo z kurczaka kg,mieso,N,,,,,,,,,,,
