item_id,item_name,item_type,nutrition_flag,wartość,kcal,fat,saturated_fat,carbohydrates,sugar,protein,salt,fiber,monounsaturated fatty acids,polyunsaturated fatty acids,polyols,starch
0000001731,"Sprite Napój gazowany o smaku cytrynowo-limonkowym 1,75 l",napoje,Y,w porcji 100 ml,37 kcal,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,
0000008056,"Cola Original Zero 1,5 l",napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,,,,
0000007409, Riviva Sok jabłkowy 1 l,napoje,Y,w porcji 100 ml,42 kcal,0.5 g,0 g,10 g,10 g,0.5 g,0.02 g,,,,,
0000008358,"Hellena Oranżada Czerwona Zero Cukru 1,25 l",napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0.1 g,0 g,0 g,0.01 g,,,,,
0000019129,"Pepsi-Cola Zero cukru Napój gazowany o smaku cola 1,75 l",napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,
0000007254,Bracia Sadownicy sok tłoczony 750 ml jabłko + pigwa,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,10 g,10 g,0 g,0 g,,,,,
0000001727,"Fanta Napój gazowany o smaku pomarańczowym 1,75 l",napoje,Y,w porcji 100 ml,17 kcal,0 g,0 g,4.1 g,4.1 g,0 g,0.02 g,,,,,
0000008083,Riviva Mango 1 l,napoje,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,,,,
0000001491,Riviva Sok 100% Jabłko z witaminą C 2 l,napoje,Y,w porcji 100 ml,41 kcal,0.5 g,0 g,10 g,10 g,0.5 g,0.01 g,,,,,
0000004565,Frugo Ultraorange Napój wieloowocowy niegazowany 500 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.6 g,4.6 g,0 g,0 g,,,,,
0000004566,Frugo Ultrablack Napój wieloowocowy niegazowany 500 ml,napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,4.9 g,4.7 g,0 g,0 g,,,,,
0000016753,Tymbark Mus Gruszka 200 g,napoje,Y,w porcji 100 g,66 kcal,0.5 g,0.1 g,14 g,13 g,0.7 g,0.01 g,1.5 g,,,,
0000008144,Miami Marchew z maliną i jabłkiem 1 l,napoje,Y,w porcji 100 g,38 kcal,0.5 g,0.1 g,8.9 g,7.9 g,0.5 g,0.03 g,0.6 g,,,,
0000018672,Oshee Pure o smaku cytrynowo-miętowym 750 ml,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0.5 g,0 g,0 g,0.03 g,,,,,
0000010570,"Hellena Oranżada czerwona 1,25 l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.4 g,4.3 g,0 g,0.04 g,,,,,
0000015407,"Vitanella Breakfast smoothie ananas, jabłko, banan, mleczko kokosowe, płatki owsiane 300 ml",napoje,Y,w porcji 100 ml,56 kcal,0 g,0 g,13 g,12 g,0.6 g,0 g,0 g,,,,
0000010840,Hortex Jabłko brzoskwinia Napój karton 1 l,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.8 g,4.7 g,0 g,0 g,,0 g,0 g,,
0000008104,"Remsey Ice Tea Brzoskwinia 1,5 l",napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,6.9 g,6.7 g,0 g,0.02 g,,,,,
0000003844,Lech Free Lager Piwo bezalkoholowe 330 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,5.5 g,2.8 g,0 g,0 g,,,,,
0000017294,Kubuś Lemoniada Jabłko Cytryna Arbuz 400 ml,napoje,Y,w porcji 100 ml,25 kcal,0 g,0 g,6.1 g,6.1 g,0 g,0 g,,,,,
0000016909,"Lipton Ice Tea Green Napój niegazowany 1,5 l",napoje,Y,w porcji 100 ml,10 kcal,0 g,0 g,2.4 g,2.2 g,0 g,0.02 g,,,,,
0000005432,"Vital Fresh Smoothie jeżyna, jabłko, malina, czarna porzeczka 750ml",napoje,Y,w porcji 100 ml,54 kcal,0 g,0 g,12.6 g,12.6 g,0.6 g,0.01 g,1.6 g,,,,
0000000012,Coca-Cola 1 l,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,
0000002096,"Polaris Naturalna woda mineralna niegazowana 0,5 l",napoje,N,,,,,,,,,,,,,
0000007180,Tymbark Vitamini 100% Sok jabłko marchew banan 1 l,napoje,Y,w porcji 100 ml,38 kcal,0.5 g,0.01 g,8 g,7.7 g,0.5 g,0.07 g,1.4 g,,,,
0000016914,Pepsi-Cola Zero cukru Napój gazowany o smaku cola 1 l,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,
0000016911,Lipton Ice Tea Lemon Napój niegazowany 500 ml,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.6 g,4.4 g,0 g,0.04 g,,,,,
0000000113,"Oaza Woda źródlana niegazowana 1,5 l",napoje,N,,,,,,,,,,,,,
0000007255,Bracia Sadownicy sok tłoczony 750 ml jabłko-marchew,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,12 g,12 g,0 g,0 g,,,,,
0000001806,"Tymbark Napój jabłko wiśnia 1,75 l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0 g,,,,,
0000011250,Go Active Izotonik o smaku pomarańczowym 750ml,napoje,Y,w porcji 100 ml,16 kcal,0 g,0 g,4.1 g,4.1 g,0 g,0.12 g,,,,,
0000000263,Riviva sok pomidorowy 1l,napoje,Y,w porcji 100 ml,17 kcal,0.5 g,0.1 g,2.4 g,2.4 g,0.9 g,0.5 g,,,,,
0000016967,Kubuś Mus Brzoskwinia Jabłko 200 g,napoje,Y,w porcji 100 g,50 kcal,0.5 g,0.1 g,10 g,9.9 g,0.6 g,0.01 g,2 g,,,,
0000008228,"Vital Fresh shot Antioxidant pomarańcza, kurkuma, chili 200 ml",napoje,Y,w porcji 100 ml,43 kcal,0 g,0 g,8.8 g,8.8 g,0.6 g,0 g,0 g,,,,
0000000112,"Oaza Woda źródlana gazowana 1,5 l",napoje,N,,,,,,,,,,,,,
0000009241,"Piwo Lech Free Active Mango 0,0% 500ml puszka",napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,5.4 g,4.3 g,0 g,0.22 g,,,,,
0000008476,Okocim Mix ciemnego piwa bezalkoholowego z lemoniadą ciemna wiśnia 500 ml,napoje,Y,w porcji 100 ml,24 kcal,0 g,0 g,5.6 g,4.4 g,0 g,0 g,,,,,
0000006617,"Cisowianka Naturalna woda mineralna lekko gazowana 1,5 l",napoje,N,,,,,,,,,,,,,
0000007275,Nałęczowianka Naturalna woda mineralna niegazowana 1 l,napoje,N,,,,,,,,,,,,,
0000012049,"Remsey Ice tea smak mango 1,5 l",napoje,Y,w porcji 100 ml,20 kcal,0.5 g,0 g,4.9 g,4.8 g,0.5 g,0.02 g,0 g,,,,
0000016645,Tymbark Drugie Śniadanie Mus z kaszą jaglaną jabłko cynamon 100 g,napoje,Y,w porcji 100 g,58 kcal,0.5 g,0.1 g,12 g,10 g,0.7 g,0.01 g,1.3 g,,,,
0000002634,ŻYWIEC ZDRÓJ niegazowany 700 ml woda źródlana,napoje,N,,,,,,,,,,,,,
0000007948,Hellena Oranżada musssująca strzelająca w proszku czerwona 6 g,napoje,Y,w porcji 100 g,384 kcal,0 g,0 g,93 g,92 g,0 g,0.74 g,,,,,
0000001809,"Tymbark Napój jabłko brzoskwinia 1,75 l",napoje,Y,w porcji 100 ml,18 kcal,0 g,0 g,4.6 g,4.6 g,0 g,0 g,,,,,
0000011249,Go Active Izotonik o smaku wieloowocowym 750ml,napoje,Y,w porcji 100 ml,16 kcal,0 g,0 g,4.1 g,4.1 g,0 g,0.12 g,,,,,
0000004567,Frugo Ultragreen Napój wieloowocowy niegazowany 500 ml,napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,4.9 g,4.9 g,0 g,0 g,,,,,
0000008055,"Cola Original napój gazowany 1,5 l",napoje,Y,w porcji 100 ml,38 kcal,0 g,0 g,9.6 g,9.6 g,0 g,0 g,,,,,
0000002635,"Polaris Naturalna woda mineralna gazowana 0,5 l",napoje,N,,,,,,,,,,,,,
0000003301,Coca-Cola zero Napój gazowany 1 l,napoje,Y,w porcji 100 ml,0.2 kcal,0 g,0 g,0 g,0 g,0 g,0.02 g,,,,,
0000004120,Cisowianka Perlage Naturalna woda mineralna 700 ml,napoje,N,,,,,,,,,,,,,
0000008657,"Polaris Woda źródlana niegazowana Mama i ja 1,5 l",napoje,N,,,,,,,,,,,,,
0000016910,Pepsi-Cola Napój gazowany o smaku cola 1 l,napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7 g,7 g,0 g,0.01 g,,,,,
0000008249,Kubuś Waterrr Napój o smaku truskawki 700 ml,napoje,Y,w porcji 100 ml,13 kcal,0 g,0 g,3 g,3 g,0 g,0 g,,,,,
0000002755,"Polaris Naturalna woda mineralna lekko gazowana 0,5 l",napoje,N,,,,,,,,,,,,,
0000009879,Riviva Sok 100% mandarynka 1 l,napoje,Y,w porcji 100 ml,45 kcal,0.5 g,0 g,10 g,10 g,0.5 g,0.02 g,0.5 g,,,,
0000008105,"Remsey Ice Tea Cytryna 1,5 l",napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,6.9 g,6.7 g,0 g,0.02 g,,,,,
0000011225,Cola Napój gazowany 2 l,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.9 g,4.9 g,0 g,0 g,0 g,,,,
0000015650,Coca-Cola Napój gazowany 200 ml,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,
0000001088,Coca Cola 330 ml,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,10.6 g,10.6 g,0 g,0 g,,,,,
0000003298,Polaris Plus Kids Naturalna woda mineralna niegazowana 330 ml,napoje,N,,,,,,,,,,,,,
0000011251,Go Active Izotonik o smaku cytrynowym 750ml,napoje,Y,w porcji 100 ml,16 kcal,0 g,0 g,4.1 g,4.1 g,0 g,0.12 g,,,,,
0000002983,Hortex Jabłko mięta  Napój karton 1 l,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.9 g,4.8 g,0 g,0 g,,,,,
0000007678,Vital Fresh Smoothie Piękna Skóra Jabłko Mango Acerola Gujawa 250 ml,napoje,Y,w porcji 100 ml,50 kcal,0.2 g,0.1 g,11 g,10.5 g,0.5 g,0.02 g,1 g,,,,
0000004622,Vital Fresh Sok jabłkowy 100% z dodatkiem witaminy C 1 l,napoje,Y,w porcji 100 ml,45 kcal,0.5 g,0 g,11 g,10 g,0.5 g,0.01 g,0.3 g,,,,
0000007978,Żywiec Zdrój Niegazowany Woda źródlana 500 ml,napoje,N,,,,,,,,,,,,,
0000008182,"Herbarium Syrop o smaku malina + witamina C, witamina D 440 ml",napoje,Y,w porcji 100 ml,244 kcal,0.5 g,0.1 g,78 g,75 g,0.5 g,0.01 g,,,,,
0000008085,Riviva kaktus 1 l,napoje,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,,,,
0000012455,Tymbark Napój jabłko wiśnia 500 ml,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0 g,,,,,
0000013158,"Vital Fresh Smoothie o smaku winogrono, truskawka, banan 750 ml",napoje,Y,w porcji 100 ml,60 kcal,0 g,0 g,13 g,13 g,0.7 g,0 g,1.8 g,,,,
0000016969,Kubuś Mus Jabłko 200 g,napoje,Y,w porcji 100 g,49 kcal,0.5 g,0.1 g,10 g,9.8 g,0.5 g,0 g,2 g,,,,
0000008146,Miami Marchew brzoskwinia z jabłkiem 1 l,napoje,Y,w porcji 100 g,36 kcal,0.5 g,0.1 g,8.6 g,7.9 g,0.5 g,0.03 g,0.7 g,,,,
0000008181,"Herbarium Syrop o smaku wiśniowym + witamina C, witamina D 440ml",napoje,Y,w porcji 100 ml,244 kcal,0.5 g,0.1 g,78 g,75 g,0.5 g,0.01 g,,,,,
0000006407,DrWitt Premium Odporność Napój multiwitamina 1 l,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,4.8 g,4.8 g,0 g,0.04 g,,,,,
0000016907,Pepsi-Cola Zero cukru Napój gazowany o smaku cola 330 ml,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,
0000004693,Vital Fresh Sok pomarańczowy 100% 1 l,napoje,Y,w porcji 100 ml,43 kcal,0 g,0 g,8.9 g,8.9 g,0.7 g,0 g,0 g,,,,
0000000008,"Nałęczowianka Naturalna woda mineralna delikatnie gazowana 1,5 l",napoje,N,,,,,,,,,,,,,
0000011855,Lech Free Piwo bezalkoholowe limonka z miętą 330 ml,napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7.4 g,5.8 g,0 g,0 g,,,,,
0000008084,Riviva zielony banan 1 l,napoje,Y,w porcji 100 ml,38 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,,,,
0000001677,Vital Fresh Sok wyciskany z hiszpańskich pomarańczy 100% z cząstkami miąższu 1 l,napoje,Y,w porcji 100 ml,43 kcal,0.1 g,0 g,10 g,10 g,0.6 g,0.01 g,0.2 g,,,,
0000012059,"Vital Fresh Smoothie Jabłko, morela, banan 250 ml",napoje,Y,w porcji 100 ml,47 kcal,0 g,0 g,11 g,9.9 g,0.5 g,0 g,0.8 g,,,,
0000008229,"Vital Fresh shot Immune Pomarańcza, Imbir 200 ml",napoje,Y,w porcji 100 ml,41 kcal,0 g,0 g,8.3 g,8.3 g,0.6 g,0 g,0 g,,,,
0000007699,Tymbark Sok 100% 3x multiwitamina 200 ml,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,11 g,0 g,0 g,,,,,
0000014671,"Cola Original Intense Zero 1,5 l",napoje,Y,w porcji 100 ml,0 kcal,0 g,0 g,0 g,0 g,0 g,0 g,,,,,
0000001089,"Cisowianka Naturalna woda mineralna gazowana 1,5 l",napoje,N,,,,,,,,,,,,,
0000000981,Karmi Classic Piwo ciemne bezalkoholowe 400 ml,napoje,Y,w porcji 100 ml,36 kcal,0 g,0 g,8.4 g,7 g,0 g,0 g,,,,,
0000007066,Kubuś Play! Woda i owoce Jabłko malina Napój owocowy 400 ml,napoje,Y,w porcji 100 ml,22 kcal,0.5 g,0.1 g,5.4 g,5.4 g,0.5 g,0 g,,,,,
0000007256,Bracia Sadownicy sok tłoczony 750 ml jabłko,napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,10 g,0 g,0 g,,,,,
0000017621,Sprite Zero cukru Napój gazowany cytrynowo-limonkowy smak 1 l,napoje,Y,w porcji 100 ml,1 kcal,0 g,0 g,0 g,0 g,0 g,0.03 g,,,,,
0000009324,Vita Aloe Napój z aloesem 38% 500 ml,napoje,Y,w porcji 100 ml,18 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0.04 g,,,,,
0000009680,Dawtona Sok z buraków z jabłkiem 300 ml,napoje,Y,w porcji 100 ml,32 kcal,0 g,0 g,7 g,7 g,0.7 g,0.48 g,0.5 g,,,,
0000009455,Coca Cola Zero napój gazowany pet 500ml ,napoje,Y,w porcji 100 ml,0.2 kcal,0 g,0 g,0 g,0 g,0 g,0.02 g,,,,,
0000007150,Żywiec Piwo bezalkoholowe 500 ml,napoje,Y,w porcji 100 ml,22 kcal,0 g,0 g,5.3 g,2.5 g,0 g,0 g,,,,,
0000019124,"Pepsi-Cola Napój gazowany o smaku cola 1,75 l",napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7 g,7 g,0 g,0.01 g,,,,,
0000005995,Polaris Woda mineralna niegazowana alkaliczna 1 l,napoje,N,,,,,,,,,,,,,
0000007373,Tyskie Piwo bezalkoholowe 500 ml,napoje,Y,w porcji 100 ml,23 kcal,0 g,0 g,5.5 g,3.1 g,0 g,0 g,,,,,
0000015399,Riviva Sok 100% jabłko - mango 1L,napoje,Y,w porcji 100 ml,49 kcal,0.5 g,0 g,,11 g,0.5 g,0.02 g,0.6 g,,,11 g,
0000016768,"Vitanella Smoothie Baton burak, czarna porzeczka 40 g",napoje,Y,w porcji 100 g,359 kcal,9.5 g,1 g,55.2 g,47.8 g,7.8 g,0.14 g,11.6 g,,,,
0000006987,Riviva Nektar banan 1 l,napoje,Y,w porcji 100 ml,39 kcal,0.5 g,0.1 g,8.9 g,8.9 g,0.5 g,0.01 g,,,,,
0000005025,Cappy 100 % sok pomarańczowy 1 l,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,8.7 g,8.7 g,0.7 g,0 g,,,,,
0000001808,"Tymbark Napój jabłko mięta 1,75 l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.5 g,4.5 g,0 g,0 g,,,,,
0000014395,"Schweppes Mojito Zero Napój gazowany 1,35 l",napoje,Y,w porcji 100 ml,2 kcal,0 g,0 g,0 g,0 g,0 g,0.01 g,,,,,
0000007399,Żywiec Zdrój Niegazowany woda źródlana 310 ml,napoje,N,,,,,,,,,,,,,
0000014843,"Vital Fresh Napój blue coctail o smaku guava, jabłko, limonka, spirulina 750 ml",napoje,Y,w porcji 100 ml,38 kcal,0 g,0 g,9.2 g,9.2 g,0.1 g,0.01 g,0 g,,,,
0000009085,"Polaris Napój gazowany VitalRed 1,5 l",napoje,Y,w porcji 100 ml,20 kcal,0.5 g,0 g,4.9 g,4.7 g,0.5 g,0.02 g,,,,,
0000010574,Be Power Energy Drink Classic 1 l,napoje,Y,w porcji 100 ml,20 kcal,0 g,0 g,5 g,4.9 g,0 g,0.1 g,0 g,,,,
0000006587,Vital Fresh Smoothie szparagi jabłko banan limonka 750ml,napoje,Y,w porcji 100 ml,45 kcal,0 g,0 g,11 g,11 g,0 g,0 g,0 g,,,,
0000006588,Vital Fresh Smoothie marchewka ananas brzoskwinia pomarańcza 750ml,napoje,Y,w porcji 100 ml,40 kcal,0 g,0 g,9 g,6.8 g,0.6 g,0 g,0.8 g,,,,
0000008210,"Schweppes Tonic 1,2l",napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,4.4 g,4.4 g,0 g,0.01 g,0 g,0 g,0 g,0 g,0 g
0000008429,Vital Fresh Sok Anansowy 750ml,napoje,Y,w porcji 100 ml,42 kcal,0 g,0 g,10.5 g,10.5 g,0 g,0 g,0 g,,,,
0000015408,"Vitanella Breakfast smoothie truskawka, czarna porzeczka, jabłko, banan, mleko, płatki owsiane 300 ml",napoje,Y,w porcji 100 ml,56 kcal,0 g,0 g,13 g,12 g,0.9 g,0.02 g,0 g,,,,
0000008480,"Muszynianka Naturalna woda mineralna średnionasycona CO2 1,5 l",napoje,N,,,,,,,,,,,,,
0000008164,Coconaut. Woda z młodego kokosa 320 ml,napoje,Y,w porcji 100 ml,22 kcal,0 g,0 g,5.5 g,5.2 g,0 g,0.05 g,,,,,
0000006408,Sprite Napój gazowany cytrynowo-limonkowy smak 1 l,napoje,Y,w porcji 100 ml,37 kcal,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,
0000005915,Żywiec Zdrój Mocny Gaz Woda źródlana 1 l,napoje,N,,,,,,,,,,,,,
0000001729,"Kinley Tonic Water Napój gazowany 1,75 l",napoje,Y,w porcji 100 ml,31 kcal,0 g,0 g,7.3 g,7.3 g,0 g,0 g,,,,,
0000007181,Tymbark Vitamini 100% Sok malina jabłko marchew 1 l,napoje,Y,w porcji 100 ml,37 kcal,0.5 g,0.1 g,7.5 g,7.4 g,0.5 g,0.08 g,1.7 g,,,,
0000007080,Vital Fresh Smoothie mango jabłko banan marakuja 330 ml,napoje,Y,w porcji 100 ml,52 kcal,0 g,0 g,12 g,12 g,0.6 g,0.01 g,1 g,,,,
0000014842,"Vital Fresh Napój green coctail o smaku kiwi, jabłko, ananas, spirulina 750 ml",napoje,Y,w porcji 100 ml,46 kcal,0 g,0 g,11 g,10 g,0.3 g,0.01 g,0.3 g,,,,
0000000843,Riviva Sok pomarańcza z cząsteczkami 100% 1 l,napoje,Y,w porcji 100 ml,43 kcal,0.5 g,0.1 g,9.8 g,9.8 g,0.6 g,0.01 g,,,,,
0000017620,Fanta Zero cukru Napój gazowany o smaku pomarańczowym 1 l,napoje,Y,w porcji 100 ml,3 kcal,0 g,0 g,0.4 g,0.4 g,0 g,0 g,,,,,
0000005124,Muszyna Skarb Życia Naturalna woda mineralna wysokozmineralizowana lekko gazowana 500 ml,napoje,N,,,,,,,,,,,,,
0000009084,"Polaris Napój gazowany VitalGreen 1,5 l",napoje,Y,w porcji 100 ml,20 kcal,0.5 g,0 g,4.9 g,4.7 g,0.5 g,0.02 g,,,,,
0000007668,Herbarium Syrop z imbiru z dodatkiem soku z cytryny 250 ml,napoje,Y,w porcji 100 ml,274 kcal,0 g,0 g,68 g,68 g,0 g,0 g,,,,,
0000003531,Cola Original 1 L,napoje,Y,w porcji 100 ml,38 kcal,0 g,0 g,9.6 g,9.6 g,0 g,0 g,,,,,
0000008288,OSHEE Vitamin Energy Magnez+B6 250 ml,napoje,Y,w porcji 100 ml,21 kcal,0 g,0 g,4.9 g,4.7 g,0 g,0 g,,,,,
0000009678,Dawtona Sok pomidorowy 300 ml ,napoje,Y,w porcji 100 ml,19 kcal,0 g,0 g,3.1 g,3.1 g,1 g,0.41 g,1.2 g,,,,
0000008248,Kubuś Waterrr Napój o smaku cytryny 700 ml,napoje,Y,w porcji 100 ml,13 kcal,0 g,0 g,3 g,3 g,0 g,0 g,,,,,
0000008089,"Riviva Nektar Jabłko 1,5 l",napoje,Y,w porcji 100 ml,29 kcal,0.5 g,0 g,7 g,6.8 g,0.5 g,0.02 g,,,,,
0000016985,Sprite Napój gazowany cytrynowo-limonkowy 330 ml,napoje,Y,w porcji 100 ml,37 kcal,0 g,0 g,9 g,9 g,0 g,0.03 g,,,,,
0000005302,Żywiec Zdrój Mocny Gaz Woda źródlana 500 ml,napoje,N,,,,,,,,,,,,,
0000016906,Pepsi-Cola Napój gazowany o smaku cola 330 ml,napoje,Y,w porcji 100 ml,28 kcal,0 g,0 g,7 g,7 g,0 g,0.01 g,,,,,
0000008853,Vital Fresh Sok pomarańcza-grejpfrut-pitaja 100% 1 l,napoje,Y,w porcji 100 ml,43 kcal,0 g,0 g,8.7 g,8.7 g,0.7 g,0 g,0 g,,,,
0000008382,"Mionetto 0,0% 0,75l",napoje,N,,,,,,,,,,,,,
0000008384,Piccolo Napój gazowany truskawka 750ML,napoje,Y,w porcji 100 ml,44 kcal,0 g,0 g,10.5 g,10.4 g,0 g,0.03 g,,,,,
0000007067,Somersby Bezalkoholowy napój piwny o smaku gruszki 400 ml,napoje,Y,w porcji 100 ml,23 kcal,0 g,0 g,5.7 g,4.8 g,0 g,0 g,,,,,
